               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.068267,            0.013243,           0.0071504,            0.073102,               0.125,             0.15007,            0.068647,            0.079413,            0.006379,            0.020791,            0.006634,            0.006634,            0.006634
                  53,            0.069098,            0.013131,           0.0095977,            0.090598,               0.125,             0.14902,            0.084552,            0.081264,            0.006317,            0.019927,            0.006568,            0.006568,            0.006568
                  54,            0.065037,            0.012212,           0.0063059,             0.10419,               0.125,             0.16363,            0.068178,            0.072709,           0.0068992,            0.018513,            0.006502,            0.006502,            0.006502
                  55,            0.061442,            0.013889,           0.0082995,             0.14291,               0.125,             0.18078,            0.073794,            0.078151,           0.0066166,            0.017835,            0.006436,            0.006436,            0.006436
                  56,            0.059647,            0.012359,           0.0057143,             0.14291,               0.125,             0.18078,            0.073794,            0.078151,           0.0066166,            0.017835,             0.00637,             0.00637,             0.00637
                  57,            0.058576,            0.014077,           0.0069005,             0.74447,               0.125,             0.16283,            0.045958,            0.077326,           0.0068187,            0.018856,            0.006304,            0.006304,            0.006304
                  58,            0.058646,            0.013962,           0.0067246,              0.8472,               0.125,             0.19684,            0.067115,            0.074676,           0.0070746,            0.018721,            0.006238,            0.006238,            0.006238
                  59,            0.059852,            0.011906,           0.0065676,             0.65498,               0.125,             0.13391,            0.042275,            0.079182,           0.0072689,            0.017451,            0.006172,            0.006172,            0.006172
                  60,            0.065608,            0.010068,           0.0060412,             0.65498,               0.125,             0.13391,            0.042275,            0.079182,           0.0072689,            0.017451,            0.006106,            0.006106,            0.006106
                  61,            0.065336,            0.011471,           0.0060306,             0.62833,               0.125,             0.14048,            0.048647,            0.077923,           0.0075918,            0.016884,             0.00604,             0.00604,             0.00604
                  62,            0.061768,            0.011444,            0.005012,             0.18616,               0.325,             0.22694,             0.12778,            0.071727,           0.0077376,            0.018118,            0.005974,            0.005974,            0.005974
                  63,             0.05892,            0.011269,           0.0060058,             0.78259,               0.125,             0.15789,            0.048401,            0.074955,            0.007425,            0.019376,            0.005908,            0.005908,            0.005908
                  64,            0.060839,            0.011177,           0.0068333,             0.78259,               0.125,             0.15789,            0.048401,            0.074955,            0.007425,            0.019376,            0.005842,            0.005842,            0.005842
                  65,            0.061553,            0.013097,           0.0054913,             0.91324,               0.125,             0.25187,            0.037045,            0.075644,           0.0075021,            0.019763,            0.005776,            0.005776,            0.005776
                  66,             0.05692,             0.01537,           0.0051941,            0.057944,               0.125,             0.13237,            0.020346,            0.079517,           0.0075308,            0.020736,             0.00571,             0.00571,             0.00571
                  67,            0.056454,            0.011221,           0.0042837,             0.73899,               0.125,             0.13061,            0.052261,             0.08217,           0.0070083,             0.02237,            0.005644,            0.005644,            0.005644
                  68,            0.064056,            0.011248,           0.0060383,             0.73899,               0.125,             0.13061,            0.052261,             0.08217,           0.0070083,             0.02237,            0.005578,            0.005578,            0.005578
                  69,            0.058031,             0.01226,           0.0055487,             0.74678,               0.125,             0.14169,            0.016179,            0.084494,           0.0068162,            0.023153,            0.005512,            0.005512,            0.005512
                  70,            0.056289,            0.010342,           0.0044506,              0.1025,               0.225,            0.072815,            0.011009,            0.078386,           0.0072154,            0.019869,            0.005446,            0.005446,            0.005446
                  71,            0.055283,            0.011577,           0.0046707,              0.2151,               0.225,             0.25183,            0.091539,            0.065884,           0.0076395,            0.017624,             0.00538,             0.00538,             0.00538
                  72,            0.058616,            0.012424,           0.0045705,              0.2151,               0.225,             0.25183,            0.091539,            0.065884,           0.0076395,            0.017624,            0.005314,            0.005314,            0.005314
                  73,            0.059422,            0.010959,           0.0058673,             0.93174,               0.125,             0.17554,            0.088418,            0.070504,            0.007341,            0.017844,            0.005248,            0.005248,            0.005248
                  74,            0.057216,           0.0094409,           0.0039867,             0.90139,               0.125,             0.18589,            0.088321,            0.070141,           0.0073718,            0.017521,            0.005182,            0.005182,            0.005182
                  75,            0.061907,            0.011287,           0.0044557,             0.18733,               0.325,             0.23851,            0.093005,            0.078474,           0.0068328,            0.016852,            0.005116,            0.005116,            0.005116
                  76,            0.065011,            0.011601,            0.018937,             0.18733,               0.325,             0.23851,            0.093005,            0.078474,           0.0068328,            0.016852,             0.00505,             0.00505,             0.00505
                  77,            0.060366,            0.011133,           0.0057898,             0.20894,               0.325,             0.24409,            0.056057,            0.078046,           0.0067568,            0.016115,            0.004984,            0.004984,            0.004984
                  78,            0.055049,            0.010022,           0.0044282,             0.92472,               0.125,             0.22572,            0.075963,            0.067123,           0.0072158,            0.016484,            0.004918,            0.004918,            0.004918
                  79,            0.056474,            0.013206,           0.0082362,             0.22081,               0.225,             0.23404,            0.066367,            0.076382,           0.0067582,            0.015878,            0.004852,            0.004852,            0.004852
                  80,            0.055249,            0.011726,           0.0050184,             0.22081,               0.225,             0.23404,            0.066367,            0.076382,           0.0067582,            0.015878,            0.004786,            0.004786,            0.004786
                  81,             0.05224,            0.011473,           0.0044569,             0.40838,               0.225,             0.23915,            0.058183,            0.075012,           0.0067221,            0.016314,             0.00472,             0.00472,             0.00472
                  82,            0.050749,            0.012505,           0.0042567,              0.4006,               0.225,             0.26628,            0.041216,            0.072271,           0.0069281,            0.016166,            0.004654,            0.004654,            0.004654
                  83,            0.049721,            0.013254,           0.0051635,             0.17957,               0.425,             0.15124,            0.028411,             0.07964,           0.0065703,            0.015891,            0.004588,            0.004588,            0.004588
                  84,            0.051163,            0.011075,           0.0055734,             0.17957,               0.425,             0.15124,            0.028411,             0.07964,           0.0065703,            0.015891,            0.004522,            0.004522,            0.004522
                  85,            0.049834,            0.012511,            0.004381,             0.19027,               0.425,             0.17415,            0.042426,            0.078477,            0.006708,            0.016482,            0.004456,            0.004456,            0.004456
                  86,            0.051191,            0.011039,           0.0059441,              0.9297,               0.125,             0.17709,            0.025234,            0.072722,           0.0069476,            0.016682,             0.00439,             0.00439,             0.00439
                  87,            0.047954,            0.012618,           0.0051972,             0.30927,                0.55,             0.36637,            0.057411,            0.074849,            0.006871,            0.016333,            0.004324,            0.004324,            0.004324
                  88,            0.051889,            0.011913,           0.0042623,             0.30927,                0.55,             0.36637,            0.057411,            0.074849,            0.006871,            0.016333,            0.004258,            0.004258,            0.004258
                  89,            0.048042,             0.01028,            0.003874,             0.24282,                0.45,             0.31493,              0.1004,            0.068879,            0.007008,            0.014784,            0.004192,            0.004192,            0.004192
                  90,             0.04861,            0.011455,           0.0055967,             0.66662,                0.35,             0.35613,            0.073404,            0.072016,           0.0069141,            0.014608,            0.004126,            0.004126,            0.004126
                  91,            0.044902,           0.0099573,           0.0043902,              0.9296,               0.125,             0.22597,             0.11061,            0.066412,           0.0069579,            0.013988,             0.00406,             0.00406,             0.00406
                  92,            0.048723,            0.011776,           0.0039644,              0.9296,               0.125,             0.22597,             0.11061,            0.066412,           0.0069579,            0.013988,            0.003994,            0.003994,            0.003994
                  93,            0.046188,            0.012112,           0.0044211,             0.19461,                0.35,             0.30768,             0.10337,            0.066574,           0.0069556,            0.014292,            0.003928,            0.003928,            0.003928
                  94,            0.045571,            0.011844,           0.0055736,             0.20634,                0.35,             0.31569,             0.09734,            0.067385,           0.0069544,            0.015524,            0.003862,            0.003862,            0.003862
